,question,answer_text,distractor
9593,cancienn team made money project,chanc someth state,state short money cover cost easi complet project
9594,which follow statement true accord text,It fourth dealer writer made success deal,In honda famou hard buy one europ If dealer mail cut rate offer accept without charg At last writer paid car like
9595,the writer enjoy visit farm,excit place,old stone wall like grandfath live room clean
9596,which statement true accord passag,kid largest chariti group UK help disabl kid,john teacher taught disabl kid mani student john class disabl kid also teach disabl kid sport
9597,mani peopl believ bismarck could defeat,fast power,bigger gun ship
9598,If graduat shanghai financ econom univers probabl attract visit vancouv,hsbc canada,it intern trade it film industri
9599,what infer accord passag,some possibl measur taken author,peopl like D laser show better event the celebr beij influenc stamped
9600,when lost way desert north africa,noth eat drink,saw bag full stone sand happi find bag gold
9601,whi three graduat student imagin smart alarm clock,To improv qualiti peopl sleep,To wake time morn
9602,accord passag follow statement draw child test true,the children took test four,the test devis ident non ident twin took part the test set assess children intellig
9603,what work newspap offic like,fast busi,import patient
9604,which follow statement true accord passag,gwaa expand program concept made nationwid,the author invent program inspir anchorag daili new the program later taken seed compani
9605,In follow situat object like left insid patient,unexpect happen chang must made procedur,the nurs count equip patient X ray
9606,what would best titl passag,the ecosystem problem nile basin,peopl life egypt sudan the poorest countri nile basin
9607,simpson happi writer greet,n expect writer recogn instantli,import letter post
9608,what one critic govern support energi effici improv michigan,the total cost home improv twice much averag save would produc,the result vari wide particip imposs measur program effect some particip discov chang end rais home heat cool expens By tri make improv mani home govern end poor qualiti work reduc cost save
9609,what news mainli,picket post close bracknel sale,harri potter childhood home visit harri potter home film harri potter privet drive
9610,In fact englishman tri fli,lost life,flew minut
9611,which best titl passag,blood group,blood transfus blood group nation
9612,the british librari,found seventeenth centuri,famou rich collect book magazin
9613,A good doctor essenti author,eventu get respons parti pay injuri,talk person respons accid
9614,which danger mobil phone internet not mention passag,someon know call,someon post photograph internet someon get person inform
9615,which follow would best titl text,A kid invent devic calm dog separ anxieti,icpooch win young scientist competit A year old girl invent devic dog hunger A man made devic let peopl chat pet
9616,which follow not true accord passag,mark parent satisfi love read,mark began teach read age mani child genius good commun other It hard parent bring geniu
9617,whi manag work disney park wear special servic cloth park,becaus want gain better view compani aim,becaus want set good exampl employe becaus want remind begin disney becaus want replac employe holiday
9618,what purpos american host famili program,To bring foreign student closer american life,To provid home foreign student To make greater progress studi foreign student To suppli son daughter american famili
9619,which follow statement true accord passag,the owner inn got noth old man,both owner wife clever the old man left inn without bag the woman forget put grass food
9620,We conclud passag,teacher call help solv bulli problem,older student like bulli younger student student fight bulli get hurt
9621,what author enjoy orgazin book,rediscov interest stori behind book,find miss book put book good order learn someth new book
9622,whi girl purs cent,To help build church big enough everi child go,To build larg build children live
9623,which follow fals makeshift hous mention text,they lack proper conveni commun facil,they built cement brick light weight steel foam plastic A person famili get hous squar meter
9624,when learn english need,understand everyth,practic classmat outsid class express idea english
